,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
0,CHEMBL1682013,,,432.3,0.0,3.21,33,O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Br)c1-c1ncn[nH]1,IC50,'=',25.0,nM,7.6,,,UO_0000065,17.59,0.4,4.39,8.36,1,CHEMBL1825598,Inhibition of recombinant JNK1 using ser73 of c-jun as substrate preincubated for 15 mins measured after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
1,CHEMBL1822140,,,431.27,0.0,2.64,36,O=C(Cn1c(=O)ccc2cnccc21)Nc1scc(Br)c1-c1ncn[nH]1,IC50,'=',4.0,nM,8.4,,,UO_0000065,19.47,0.44,5.76,7.96,0,CHEMBL1825598,Inhibition of recombinant JNK1 using ser73 of c-jun as substrate preincubated for 15 mins measured after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
2,CHEMBL1822306,,,395.47,0.0,3.06,55,N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1nccs1,IC50,'=',10.0,nM,8.0,,,UO_0000065,20.23,0.4,4.94,8.08,0,CHEMBL1825598,Inhibition of recombinant JNK1 using ser73 of c-jun as substrate preincubated for 15 mins measured after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
4,CHEMBL1950293,,,517.56,1.0,4.4,5,CC(C)Nc1ncc2nc(Nc3c(F)cc(F)cc3F)n([C@H]3CC[C@@H](C(=O)N4CCOCC4)CC3)c2n1,IC50,'=',63.0,nM,7.2,,,UO_0000065,13.91,0.27,2.8,7.41,0,CHEMBL1952891,Inhibition of hexa-His-tagged JNK1 expressed in baculoviral system using GST-tagged c-Jun as substrate preincubated for 15 mins prior ATP addition measured after 60 mins by scintillation counting,B,BAO_0000019,assay format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1949521,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
5,CHEMBL218658,,,402.48,0.0,1.9,16c,CC(C)COc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,IC50,'=',88.0,nM,7.06,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
6,CHEMBL220607,,,531.66,1.0,3.89,18,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccsc3CNCc3ccccc3)n2)cc1,IC50,'=',1990.0,nM,5.7,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
7,CHEMBL387253,,,396.43,0.0,2.13,15f,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccoc3)n2)cc1,IC50,'=',270.0,nM,6.57,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
8,CHEMBL3679576,,,563.5,1.0,3.31,BDBM100597,COC(=O)c1c(CNC(=O)c2ccc(-c3nnn(C)n3)cc2)c(=O)c2ccc(C(F)(F)F)nc2n1-c1ccccc1,IC50,'=',38.0,nM,7.42,,217808,UO_0000065,13.17,0.25,4.11,5.54,0,CHEMBL3705299,In Vitro Enzyme Assay: In vitro JNK1 assay.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638467,37,BindingDB Database,,2013.0,,,,
9,CHEMBL220504,,,388.45,0.0,1.66,16a,CC(C)Oc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,IC50,'=',15.0,nM,7.82,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
11,CHEMBL2376906,,,490.01,0.0,4.87,7,O=C(NCCCN1CCOCC1)c1ccc(-n2ncc3cc(Nc4ccccc4Cl)ccc32)cc1,IC50,'=',920.0,nM,6.04,,,UO_0000065,12.32,0.24,1.17,8.45,0,CHEMBL2379719,Inhibition of JNK1 (unknown origin)-mediated ATF2 Thr71 phosphorylation by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2375283,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
13,CHEMBL3679553,,,476.92,0.0,4.37,BDBM100574,COC(=O)c1c(CNC(=O)c2ccc(OC)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,IC50,'=',7.0,nM,8.15,,217785,UO_0000065,17.1,0.33,3.78,9.41,0,CHEMBL3705299,In Vitro Enzyme Assay: In vitro JNK1 assay.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638467,37,BindingDB Database,,2013.0,,,,
14,CHEMBL3679558,,,447.88,0.0,3.76,BDBM100579,COC(=O)c1c(CNC(=O)c2cccnc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,IC50,'=',13.0,nM,7.89,,217790,UO_0000065,17.61,0.34,4.13,8.73,0,CHEMBL3705299,In Vitro Enzyme Assay: In vitro JNK1 assay.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638467,37,BindingDB Database,,2013.0,,,,
15,CHEMBL3679584,,,443.46,0.0,3.11,BDBM100605,COC(=O)c1c(CNC(=O)c2cccnc2)c(=O)c2ccc(OC)cc2n1-c1ccccc1,IC50,'=',65.0,nM,7.19,,217816,UO_0000065,16.21,0.3,4.08,7.22,0,CHEMBL3705299,In Vitro Enzyme Assay: In vitro JNK1 assay.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638467,37,BindingDB Database,,2013.0,,,,
16,CHEMBL3640056,,,452.94,0.0,3.45,BDBM100638,CC(=O)N1CCC(NC(=O)NCc2cn(-c3ccccc3)c3cc(Cl)ccc3c2=O)CC1,IC50,'=',2200.0,nM,5.66,,217849,UO_0000065,12.49,0.24,2.21,6.78,0,CHEMBL3705299,In Vitro Enzyme Assay: In vitro JNK1 assay.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638467,37,BindingDB Database,,2013.0,,,,
17,CHEMBL3640057,,,600.14,1.0,3.54,BDBM100639,CS(=O)(=O)C1CCN(C(=O)N2CCC(NC(=O)NCc3cn(-c4ccccc4)c4cc(Cl)ccc4c3=O)CC2)CC1,IC50,'=',1600.0,nM,5.8,,217850,UO_0000065,9.66,0.19,2.26,4.8,0,CHEMBL3705299,In Vitro Enzyme Assay: In vitro JNK1 assay.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638467,37,BindingDB Database,,2013.0,,,,
19,CHEMBL208637,,,220.23,0.0,0.89,1,CCOc1nc(NC(C)=O)cc(N)c1C#N,IC50,'=',840.0,nM,6.08,,,UO_0000065,27.59,0.52,5.19,6.01,0,CHEMBL866012,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138045,1,Scientific Literature,J Med Chem,2006.0,,,,
