,SMILES,Scaffold,R-groups,ro_gen_design,struc_alerts,macrocycle,dundee_matches
0,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCOC)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCCOC,True,False,True,['Aliphatic long chain']
1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(C)NC(C)=O)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)NC(=O)C,True,False,True,['het-C-het not in ring']
2,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(NS(=O)(=O)O)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1ccc(S(=O)(=O)=O)cc1,False,False,True,['Sulfonic acid']
3,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)Nc4ccnc(-c5ccc(N)cc5)n4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cccc(NC(=O)C)c1,False,False,True,['aniline']
4,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1nc(-c2ccc(N)cc2)ncc1,False,False,True,['aniline']
5,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3N)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,True,False,True,['aniline']
6,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3nc(-c4ccc(N)cc4)cnc3N)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
7,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(-c4ccc(F)nc4)nc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCc1ccccc1,False,False,True,['2-halo pyridine']
8,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(C)c4ccnc(Cl)c4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(N2CCOCC2)nc1,True,False,True,['2-halo pyridine']
9,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccccc3-c3ccc(N)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(c1cc(Cl)ncc1)C,False,False,True,['aniline']
10,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc([N+](=O)[O-])s3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,"['nitro group', 'Oxygen-nitrogen single bond']"
11,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NC(=O)c4ccc(N)cc4)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
12,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)Nc4ccc(N)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*Nc1ncc(OCCO)cc1,True,False,True,['aniline']
13,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cco[n+]3[O-])nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,True,False,True,['N oxide']
14,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc4c(c3)OCO4)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['acetal']
15,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(Cl)nc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['2-halo pyridine']
16,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(-c4ccc(N)cc4)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
17,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccn3O)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,True,False,True,['N-hydroxyl pyridine']
