,SMILES,Scaffold,R-groups,ro_gen_design,struc_alerts,macrocycle,JNK1_PIC50,JNK1_PIC50_std,UCB_JNK1_PIC50,HBA,HBD,MolWt,TPSA,SA_score,Custom_score
0,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCC)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCC,True,True,True,6.2602962002957385,2.0874496978535664,8.347745898149306,7,2,419.16272528,118.97,2.7164537676750715,0.3801802278030664
1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(F)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(F)cc1,False,True,True,6.116870265085775,2.0850442952648187,8.201914560350595,7,1,524.2005880080001,104.18999999999998,2.7675178026078626,0.07844185468275099
2,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC4CCCCC4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC1CCCCC1,True,True,True,6.360585101312273,2.0919788184584722,8.452563919770745,7,2,473.209675472,118.97,2.7445353382020894,0.3242827600333839
3,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(NS(C)(=O)=O)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc(NS(=O)(=O)C)ccc1,False,True,True,6.2695524949599974,2.088975549447619,8.358528044407617,9,2,599.198459156,150.35999999999996,2.948866065668163,0.010428009787574409
4,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(=O)NC(C)(C)C)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(=O)NC(C)(C)C,True,True,True,6.3195237741407535,2.0985416321991313,8.418065406339885,8,3,490.19983906,148.07,2.899271058978199,0.2512225669343024
5,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(Cl)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(Cl)cc1,False,True,True,6.1142321762480405,2.085239540436717,8.199471716684759,7,1,540.171037468,104.18999999999998,2.7640802286433637,0.03757856349693611
6,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cnc(N4CCN(C)CC4)cn3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ncc(N2CCN(C)CC2)nc1,False,True,True,6.335586775870102,2.0969309654184625,8.432517741288564,11,1,606.2849060760001,136.45,3.1484191431172874,0.014173699775710702
7,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccccn3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ncccc1,False,True,True,6.140759802475248,2.0935435965576596,8.234303399032907,8,1,507.2052587880001,117.07999999999998,2.849296928467826,0.1535762015264481
8,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(C)(C)C)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,True,True,True,6.415103467844124,2.0952874510460564,8.510390918890181,7,2,447.194025408,118.97,2.7926701871188797,0.3787174266763031
9,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N4CCOCC4)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(N2CCOCC2)cc1,False,True,True,6.211238361870909,2.0851247887343005,8.29636315060521,9,1,591.2627736640001,116.65999999999998,2.92384773539664,0.008548041572794318
10,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCCCC4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*N1CCCCC1,True,True,True,6.21487171442543,2.0882765157022396,8.30314823012767,7,1,459.194025408,110.17999999999999,2.6750848193190127,0.34905519115272904
11,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(Cl)cn3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ncc(Cl)cc1,False,True,True,6.2611300067107285,2.094802049667152,8.355932056377881,8,1,541.1662864360001,117.07999999999998,2.9176407316019457,0.040827998891472816
12,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCOCC4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*N1CCOCC1,True,True,True,6.190324427306819,2.089619289470369,8.279943716777188,8,1,461.173289964,119.41,2.7301755885497823,0.34461329341866076
13,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(S(C)(=O)=O)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(S(=O)(=O)C)cc1,False,True,True,6.144999401380753,2.084852248238632,8.229851649619384,9,1,584.1875601239999,138.32999999999998,2.8778289809874327,0.007444672111887485
14,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)Nc4ccc(NS(C)(=O)=O)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1ccc(NS(=O)(=O)C)cc1,True,True,True,6.470430376660612,2.085607491827162,8.556037868487774,9,3,560.1511746159999,165.14,2.789544758095616,0.03970130439847707
15,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(CC)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(CC)cc1,False,True,True,6.20137007523105,2.087282195723729,8.288652270954778,7,1,534.2413099480001,104.18999999999998,2.7881326599134226,0.052088655065745115
16,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NS(C)(=O)=O)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(NS(=O)(=O)C)cc1,False,True,True,6.318851310560628,2.085811890907295,8.404663201467923,9,2,599.198459156,150.35999999999996,2.9165535150608743,0.01338517665863037
17,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC4CCCC4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC1CCCC1,True,True,True,6.370547237157336,2.091901206213549,8.462448443370885,7,2,459.194025408,118.97,2.7376586654728605,0.3585682525299489
18,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N4CCOCC4)nc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(N2CCOCC2)nc1,False,True,True,6.266834901278021,2.0850559790536547,8.351890880331677,10,1,592.258022632,129.54999999999998,3.0216973507812552,0.010892307152971624
